headline,url,img_src,level,media,domain
How to Use Word Embedding Layers for Deep Learning with Keras,https://machinelearningmastery.com/use-word-embedding-layers-deep-learning-keras/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Advanced,Article,Model
A Gentle Introduction to Bayes Theorem for Machine Learning,https://machinelearningmastery.com/bayes-theorem-for-machine-learning/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Beginner,Article,Model
12 Powerful Tips to Ace Data Science and Machine Learning Hackathons,https://www.analyticsvidhya.com/blog/2020/10/12-powerful-tips-ace-data-science-hackathons/?utm_source=linkedin&utm_medium=AV%7Clink%7Chack-live-3%7Cblogs%7C44119%7C0.75,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/analytics-vidhya.jpeg,Advanced,Article,Industry
Build Your First Data Science Application,https://www.kdnuggets.com/2021/02/build-first-data-science-application.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Beginner,Article,Deploy
Backcasting: Building an Accurate Forecasting Model for Your Business,https://www.kdnuggets.com/2021/02/backcasting-building-accurate-forecasting-model-business.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Advanced,Article,Model
How to Deploy Machine Learning Models using Flask (with Code!),https://www.analyticsvidhya.com/blog/2020/04/how-to-deploy-machine-learning-model-flask/?utm_source=linkedin&utm_medium=AV%7Clink%7Chigh-performance-blog%7Cblogs%7C44232%7C0.375,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/analytics-vidhya.jpeg,Advanced,Article,Deploy
Deep learning doesn’t need to be a black box,https://www.kdnuggets.com/2021/02/deep-learning-not-black-box.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Advanced,Article,Industry
Essential Math for Data Science: Introduction to Matrices and the Matrix Product,https://www.kdnuggets.com/2021/02/essential-math-data-science-matrices-matrix-product.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Advanced,Article,Analyze
Why You Need to Learn Bayesian AND Frequentist Statistics,https://www.datasciencecentral.com/profiles/blogs/should-everyone-learn-bayesian-statistics,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/data-science-central.png,Advanced,Article,Industry
How to learn pure mathematics on your own: a complete self-study guide,https://youtu.be/fo-alw2q-BU,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/youtube.jpg,Advanced,Video,Analyze
How to learn data science in 2021 (the minimize effort maximize outcome way),https://youtu.be/Axu4tJl8gbM,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/youtube.jpg,Beginner,Video,Industry
Tutorial: Add a Column to a Pandas DataFrame Based on an If-Else Condition,https://www.dataquest.io/blog/tutorial-add-column-pandas-dataframe-based-on-if-else-condition/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/Dataquest-logo.png,Beginner,Article,Analyze
 ,,,,,
